tree_id,species,latitude,longitude
138948, Sycamore: London Plane,37.7762322,-122.42861809999998
44181, Victorian Box,37.80435416,-122.4421061
97063, Brisbane Box,37.7351486,-122.3897551
224733, Indian Laurel Fig Tree 'Green Gem',37.760038200000004,-122.42338000000001
105092, Blackwood Acacia,37.79097177,-122.4469246
2566, Victorian Box,37.78832822,-122.42376499999999
91596, California privet,37.76284232,-122.417332
140873, New Zealand Xmas Tree,37.78272848,-122.4491116
128917, Maidenhair Tree,37.79364131,-122.4414767
187780, Blackwood Acacia,37.73748583,-122.3793722
27059, New Zealand Xmas Tree,37.72893955,-122.41743970000002
133578, Sycamore: London Plane,37.78892983,-122.45046770000002
222371, Lemon Bottlebrush,37.76083415,-122.4306382
91747, Chinese Pistache,37.75578034,-122.4122624
188755, Blackwood Acacia,37.71139758,-122.39353290000001
43773, Victorian Box,37.78567623,-122.47878100000001
233986, Tawhiwhi Pittosporum,37.76297448,-122.4479765
102923, Victorian Box,37.78962626,-122.41987879999999
1714, Sweet Bay: Grecian Laurel,37.79655069,-122.40073259999998
231293, New Zealand Xmas Tree,37.75026409,-122.42550200000001
66134, Little Gem Magnolia,37.80126871,-122.4465906
32556, Peppermint Willow,37.75731405,-122.4265636
130551, Southern Magnolia,37.79046521,-122.4498548
92291, Ornamental Cherry,37.74023949,-122.47772169999999
127680, Indian Laurel Fig Tree 'Green Gem',37.79040981,-122.4089116
44312, Cherry Plum,37.79379946,-122.4393364
224612, Chinese Banyan,37.75285749,-122.44468229999998
206037, Mediterranean Fan Palm,37.72339122,-122.4550615
94213, Seedless Lime,37.76055798,-122.3962357
160846, Bronze Loquat,37.7177707,-122.43236329999999
103764, Kwanzan Flowering Cherry,37.78927035,-122.41957579999999
234060, Victorian Box,37.75162404,-122.4053058
190183, Indian Laurel Fig Tree 'Green Gem',37.79323461,-122.39509550000001
11633, Siberian Elm,37.72893181,-122.4717601
235816, Cherry Plum,37.76267902,-122.42062460000001
213490, Kwanzan Flowering Cherry,37.72772453,-122.4580501
26548, Chinese Banyan,37.75246428,-122.41358319999999
95337, Sycamore: London Plane,37.79909187,-122.40123510000001
105802, Victorian Box,37.77431738,-122.45924280000001
209230, Mayten,37.7353527,-122.4454252
42979, Queen Palm,37.72596423,-122.41937959999998
35587, Flowering Plum,37.80287197,-122.4365902
131955, Olive Tree,37.80154625,-122.42357050000001
96823, Canary Island Date Palm,37.75927246,-122.4260223
95966, Victorian Box,37.7805919,-122.47852749999998
208086, American Sweet Gum,37.72622294,-122.47209309999998
229933, Southern Magnolia,37.74317641,-122.43437879999999
200897, Brisbane Box,37.73902624,-122.38907179999998
9871, Indian Laurel Fig Tree 'Green Gem',37.78688385,-122.4249126
209000, Blue Gum,37.73672166,-122.4625169
16033, Red Ironbark,37.73147799,-122.4388388
227661, Sweet Bay: Grecian Laurel,37.73787142,-122.42977830000001
76145, Brisbane Box,37.803377600000005,-122.4241268
205095, Red Flowering Gum,37.72407625,-122.47220120000001
177859, Olive Tree,37.7302854,-122.436714
106083, Sycamore: London Plane,37.78966188,-122.45006809999998
48433, Indian Laurel Fig Tree 'Green Gem',37.79262622,-122.4124182
203823, Blackwood Acacia,37.73239128,-122.4539439
127709, Indian Laurel Fig Tree 'Green Gem',37.79543007,-122.41331140000001
172200, Brisbane Box,37.72253016,-122.42984779999999
125471, Fern Pine,37.79075416,-122.40901070000001
130222, Brisbane Box,37.79391181,-122.42273429999999
17213, Olive Tree,37.78412107,-122.42216699999999
